,R,i,j,theta,delta,X_rep_etude,Y_rep_etude,Z_rep_etude
0,2.2,0.0,0.0,1.5707963267948966,0.0,1.3471114790620887e-16,2.2,0.0
1,2.2,1.0,0.0,1.5707963267948966,0.7853981633974483,9.525516618590428e-17,2.2,9.525516618590426e-17
2,2.2,2.0,0.0,1.5707963267948966,1.5707963267948966,8.248678804640218e-33,2.2,1.3471114790620887e-16
3,2.2,3.0,0.0,1.5707963267948966,2.356194490192345,-9.525516618590426e-17,2.2,9.525516618590428e-17
4,2.2,4.0,0.0,1.5707963267948966,3.141592653589793,-1.3471114790620887e-16,2.2,1.6497357609280436e-32
5,2.2,5.0,0.0,1.5707963267948966,3.9269908169872414,-9.525516618590429e-17,2.2,-9.525516618590426e-17
6,2.2,6.0,0.0,1.5707963267948966,4.71238898038469,-2.474603641392065e-32,2.2,-1.3471114790620887e-16
7,2.2,7.0,0.0,1.5707963267948966,5.497787143782138,9.525516618590425e-17,2.2,-9.525516618590429e-17
8,2.2,0.0,1.0,0.7853981633974483,0.0,1.5556349186104048,1.5556349186104046,0.0
9,2.2,1.0,1.0,0.7853981633974483,0.7853981633974483,1.1000000000000003,1.5556349186104046,1.1
10,2.2,2.0,1.0,0.7853981633974483,1.5707963267948966,9.525516618590429e-17,1.5556349186104046,1.5556349186104048
11,2.2,3.0,1.0,0.7853981633974483,2.356194490192345,-1.1,1.5556349186104046,1.1000000000000003
12,2.2,4.0,1.0,0.7853981633974483,3.141592653589793,-1.5556349186104048,1.5556349186104046,1.9051033237180858e-16
13,2.2,5.0,1.0,0.7853981633974483,3.9269908169872414,-1.1000000000000003,1.5556349186104046,-1.1
14,2.2,6.0,1.0,0.7853981633974483,4.71238898038469,-2.857654985577128e-16,1.5556349186104046,-1.5556349186104048
15,2.2,7.0,1.0,0.7853981633974483,5.497787143782138,1.0999999999999999,1.5556349186104046,-1.1000000000000003
16,2.2,0.0,2.0,0.0,0.0,2.2,0.0,0.0
17,2.2,1.0,2.0,0.0,0.7853981633974483,1.5556349186104048,0.0,1.5556349186104046
18,2.2,2.0,2.0,0.0,1.5707963267948966,1.3471114790620887e-16,0.0,2.2
19,2.2,3.0,2.0,0.0,2.356194490192345,-1.5556349186104046,0.0,1.5556349186104048
20,2.2,4.0,2.0,0.0,3.141592653589793,-2.2,0.0,2.6942229581241775e-16
21,2.2,5.0,2.0,0.0,3.9269908169872414,-1.555634918610405,0.0,-1.5556349186104046
22,2.2,6.0,2.0,0.0,4.71238898038469,-4.0413344371862655e-16,0.0,-2.2
23,2.2,7.0,2.0,0.0,5.497787143782138,1.5556349186104044,0.0,-1.555634918610405
24,2.2,0.0,3.0,-0.7853981633974483,0.0,1.5556349186104048,-1.5556349186104046,0.0
25,2.2,1.0,3.0,-0.7853981633974483,0.7853981633974483,1.1000000000000003,-1.5556349186104046,1.1
26,2.2,2.0,3.0,-0.7853981633974483,1.5707963267948966,9.525516618590429e-17,-1.5556349186104046,1.5556349186104048
27,2.2,3.0,3.0,-0.7853981633974483,2.356194490192345,-1.1,-1.5556349186104046,1.1000000000000003
28,2.2,4.0,3.0,-0.7853981633974483,3.141592653589793,-1.5556349186104048,-1.5556349186104046,1.9051033237180858e-16
29,2.2,5.0,3.0,-0.7853981633974483,3.9269908169872414,-1.1000000000000003,-1.5556349186104046,-1.1
30,2.2,6.0,3.0,-0.7853981633974483,4.71238898038469,-2.857654985577128e-16,-1.5556349186104046,-1.5556349186104048
31,2.2,7.0,3.0,-0.7853981633974483,5.497787143782138,1.0999999999999999,-1.5556349186104046,-1.1000000000000003
32,2.2,0.0,4.0,-1.5707963267948966,0.0,1.3471114790620887e-16,-2.2,0.0
33,2.2,1.0,4.0,-1.5707963267948966,0.7853981633974483,9.525516618590428e-17,-2.2,9.525516618590426e-17
34,2.2,2.0,4.0,-1.5707963267948966,1.5707963267948966,8.248678804640218e-33,-2.2,1.3471114790620887e-16
35,2.2,3.0,4.0,-1.5707963267948966,2.356194490192345,-9.525516618590426e-17,-2.2,9.525516618590428e-17
36,2.2,4.0,4.0,-1.5707963267948966,3.141592653589793,-1.3471114790620887e-16,-2.2,1.6497357609280436e-32
37,2.2,5.0,4.0,-1.5707963267948966,3.9269908169872414,-9.525516618590429e-17,-2.2,-9.525516618590426e-17
38,2.2,6.0,4.0,-1.5707963267948966,4.71238898038469,-2.474603641392065e-32,-2.2,-1.3471114790620887e-16
39,2.2,7.0,4.0,-1.5707963267948966,5.497787143782138,9.525516618590425e-17,-2.2,-9.525516618590429e-17
