,i,j,theta,delta,label,label_anglais,numero
0,0.0,0.0,1.5707963267948966,0.0,dessus,top,1
1,1.0,0.0,1.5707963267948966,0.7853981633974483,dessus,top,1
2,2.0,0.0,1.5707963267948966,1.5707963267948966,dessus,top,1
3,3.0,0.0,1.5707963267948966,2.356194490192345,dessus,top,1
4,4.0,0.0,1.5707963267948966,3.141592653589793,dessus,top,1
5,5.0,0.0,1.5707963267948966,3.9269908169872414,dessus,top,1
6,6.0,0.0,1.5707963267948966,4.71238898038469,dessus,top,1
7,7.0,0.0,1.5707963267948966,5.497787143782138,dessus,top,1
8,0.0,1.0,0.7853981633974483,0.0,dessus_face,top_face,2
9,1.0,1.0,0.7853981633974483,0.7853981633974483,dessus_face_droit,top_right_face,3
10,2.0,1.0,0.7853981633974483,1.5707963267948966,dessus_profil_droit,top_right_profile,4
11,3.0,1.0,0.7853981633974483,2.356194490192345,dessus_arriere_droit,top_right_back,5
12,4.0,1.0,0.7853981633974483,3.141592653589793,dessus_arriere,top_back,6
13,5.0,1.0,0.7853981633974483,3.9269908169872414,dessus_arriere_gauche,top_left_back,7
14,6.0,1.0,0.7853981633974483,4.71238898038469,dessus_profil_gauche,top_left_profile,8
15,7.0,1.0,0.7853981633974483,5.497787143782138,dessus_face_gauche,top_left_face,9
16,0.0,2.0,0.0,0.0,face,face,10
17,1.0,2.0,0.0,0.7853981633974483,face_droit,right_face,11
18,2.0,2.0,0.0,1.5707963267948966,profil_droit,right_profile,12
19,3.0,2.0,0.0,2.356194490192345,arriere_droit,right_back,13
20,4.0,2.0,0.0,3.141592653589793,arriere,back,14
21,5.0,2.0,0.0,3.9269908169872414,arriere_gauche,left_back,15
22,6.0,2.0,0.0,4.71238898038469,profil_gauche,left_profile,16
23,7.0,2.0,0.0,5.497787143782138,face_gauche,left_face,17
24,0.0,3.0,-0.7853981633974483,0.0,dessous_face,bottom_face,18
25,1.0,3.0,-0.7853981633974483,0.7853981633974483,dessous_face_droit,bottom_right_face,19
26,2.0,3.0,-0.7853981633974483,1.5707963267948966,dessous_profil_droit,bottom_right_profile,20
27,3.0,3.0,-0.7853981633974483,2.356194490192345,dessous_arriere_droit,bottom_right_back,21
28,4.0,3.0,-0.7853981633974483,3.141592653589793,dessous_arriere,bottom_back,22
29,5.0,3.0,-0.7853981633974483,3.9269908169872414,dessous_arriere_gauche,bottom_left_back,23
30,6.0,3.0,-0.7853981633974483,4.71238898038469,dessous_profil_gauche,bottom_left_profile,24
31,7.0,3.0,-0.7853981633974483,5.497787143782138,dessous_face_gauche,bottom_left_face,25
32,0.0,4.0,-1.5707963267948966,0.0,dessous,bottom,26
33,1.0,4.0,-1.5707963267948966,0.7853981633974483,dessous,bottom,26
34,2.0,4.0,-1.5707963267948966,1.5707963267948966,dessous,bottom,26
35,3.0,4.0,-1.5707963267948966,2.356194490192345,dessous,bottom,26
36,4.0,4.0,-1.5707963267948966,3.141592653589793,dessous,bottom,26
37,5.0,4.0,-1.5707963267948966,3.9269908169872414,dessous,bottom,26
38,6.0,4.0,-1.5707963267948966,4.71238898038469,dessous,bottom,26
39,7.0,4.0,-1.5707963267948966,5.497787143782138,dessous,bottom,26
