,Unnamed: 0,i,j,theta,delta,label,label_anglais,numero
0,0,0.0,0.0,1.57,0.0,dessus,top,1
1,1,1.0,0.0,1.57,0.79,dessus,top,1
2,2,2.0,0.0,1.57,1.57,dessus,top,1
3,3,3.0,0.0,1.57,2.36,dessus,top,1
4,4,4.0,0.0,1.57,3.14,dessus,top,1
5,5,5.0,0.0,1.57,3.93,dessus,top,1
6,6,6.0,0.0,1.57,4.71,dessus,top,1
7,7,7.0,0.0,1.57,5.5,dessus,top,1
8,8,0.0,1.0,0.79,0.0,dessus_face,top_face,2
9,9,1.0,1.0,0.79,0.79,dessus_face_droit,top_right_face,3
10,10,2.0,1.0,0.79,1.57,dessus_profil_droit,top_right_profile,4
11,11,3.0,1.0,0.79,2.36,dessus_arriere_droit,top_right_back,5
12,12,4.0,1.0,0.79,3.14,dessus_arriere,top_back,6
13,13,5.0,1.0,0.79,3.93,dessus_arriere_gauche,top_left_back,7
14,14,6.0,1.0,0.79,4.71,dessus_profil_gauche,top_left_profile,8
15,15,7.0,1.0,0.79,5.5,dessus_face_gauche,top_left_face,9
16,16,0.0,2.0,0.0,0.0,face,face,10
17,17,1.0,2.0,0.0,0.79,face_droit,right_face,11
18,18,2.0,2.0,0.0,1.57,profil_droit,right_profile,12
19,19,3.0,2.0,0.0,2.36,arriere_droit,right_back,13
20,20,4.0,2.0,0.0,3.14,arriere,back,14
21,21,5.0,2.0,0.0,3.93,arriere_gauche,left_back,15
22,22,6.0,2.0,0.0,4.71,profil_gauche,left_profile,16
23,23,7.0,2.0,0.0,5.5,face_gauche,left_face,17
24,24,0.0,3.0,-0.79,0.0,dessous_face,bottom_face,18
25,25,1.0,3.0,-0.79,0.79,dessous_face_droit,bottom_right_face,19
26,26,2.0,3.0,-0.79,1.57,dessous_profil_droit,bottom_right_profile,20
27,27,3.0,3.0,-0.79,2.36,dessous_arriere_droit,bottom_right_back,21
28,28,4.0,3.0,-0.79,3.14,dessous_arriere,bottom_back,22
29,29,5.0,3.0,-0.79,3.93,dessous_arriere_gauche,bottom_left_back,23
30,30,6.0,3.0,-0.79,4.71,dessous_profil_gauche,bottom_left_profile,24
31,31,7.0,3.0,-0.79,5.5,dessous_face_gauche,bottom_left_face,25
32,32,0.0,4.0,-1.57,0.0,dessous,bottom,26
33,33,1.0,4.0,-1.57,0.79,dessous,bottom,26
34,34,2.0,4.0,-1.57,1.57,dessous,bottom,26
35,35,3.0,4.0,-1.57,2.36,dessous,bottom,26
36,36,4.0,4.0,-1.57,3.14,dessous,bottom,26
37,37,5.0,4.0,-1.57,3.93,dessous,bottom,26
38,38,6.0,4.0,-1.57,4.71,dessous,bottom,26
39,39,7.0,4.0,-1.57,5.5,dessous,bottom,26
