,cat,label,poids_modelnet,poids_us,poids_modelnet_norm,poids_us_norm
0,bench,dessus_face,16.860000000000003,45.1,0.358,0.172
1,bench,dessus_face_droit,8.21,44.9,0.174,0.171
2,bench,dessus_profil_droit,0.23,8.100000000000001,0.005,0.031
3,bench,dessus_arriere_droit,2.22,16.700000000000003,0.047,0.064
4,bench,dessus_arriere,6.409999999999999,22.200000000000003,0.136,0.085
5,bench,face,6.810000000000001,28.0,0.145,0.107
6,bench,face_droit,2.9400000000000004,57.0,0.062,0.218
7,bench,profil_droit,0.05,2.0,0.001,0.008
8,bench,arriere_droit,0.6900000000000001,4.0,0.015,0.015
9,bench,arriere,2.6900000000000004,34.0,0.057,0.13
