,cat,label,poids_modelnet,poids_us,poids_modelnet_norm,poids_us_norm
0,cabinet-d,dessus_face,9.840000000000002,4.5,0.227,0.02
1,cabinet-d,dessus_face_droit,20.08,11.200000000000001,0.462,0.05
2,cabinet-d,dessus_profil_droit,0.0,1.3,0.0,0.006
3,cabinet-d,dessus_arriere_droit,1.0,0.0,0.023,0.0
4,cabinet-d,dessus_arriere,0.46,0.0,0.011,0.0
5,cabinet-d,face,2.28,97.0,0.053,0.433
6,cabinet-d,face_droit,9.200000000000003,80.0,0.212,0.357
7,cabinet-d,profil_droit,0.0,3.0,0.0,0.013
8,cabinet-d,arriere_droit,0.46,23.0,0.011,0.103
9,cabinet-d,arriere,0.1,4.0,0.002,0.018
