,cat,label,poids_modelnet,poids_us,poids_modelnet_norm,poids_us_norm
0,cabinet-t,dessus_face,16.39,4.5,0.259,0.02
1,cabinet-t,dessus_face_droit,12.68,11.200000000000001,0.2,0.05
2,cabinet-t,dessus_profil_droit,0.92,1.3,0.015,0.006
3,cabinet-t,dessus_arriere_droit,7.220000000000001,0.0,0.114,0.0
4,cabinet-t,dessus_arriere,8.520000000000001,0.0,0.135,0.0
5,cabinet-t,face,6.19,97.0,0.098,0.433
6,cabinet-t,face_droit,5.109999999999999,80.0,0.081,0.357
7,cabinet-t,profil_droit,0.2,3.0,0.003,0.013
8,cabinet-t,arriere_droit,2.99,23.0,0.047,0.103
9,cabinet-t,arriere,3.12,4.0,0.049,0.018
