,cat,label,poids_modelnet,poids_us,poids_modelnet_norm,poids_us_norm
0,carVasa,dessus_face,0.19,9.800000000000002,0.005,0.039
1,carVasa,dessus_face_droit,2.07,19.5,0.055,0.078
2,carVasa,dessus_profil_droit,5.71,6.3,0.15,0.025
3,carVasa,dessus_arriere_droit,2.14,1.0,0.056,0.004
4,carVasa,dessus_arriere,0.0,4.2,0.0,0.017
5,carVasa,dessus_arriere_gauche,1.6700000000000004,2.4000000000000004,0.044,0.01
6,carVasa,dessus_profil_gauche,10.41,5.299999999999999,0.274,0.021
7,carVasa,dessus_face_gauche,4.99,22.500000000000004,0.131,0.09
8,carVasa,face,0.05,11.0,0.001,0.044
9,carVasa,face_droit,0.47,42.0,0.012,0.168
10,carVasa,profil_droit,2.07,49.0,0.055,0.196
11,carVasa,arriere_droit,0.51,11.0,0.013,0.044
12,carVasa,arriere,0.0,0.0,0.0,0.0
13,carVasa,arriere_gauche,0.53,6.0,0.014,0.024
14,carVasa,profil_gauche,5.290000000000001,26.0,0.139,0.104
15,carVasa,face_gauche,1.87,34.0,0.049,0.136
