,path,name,0-1,1-1,2-1,3-1,4-1,5-1,6-1,7-1,0-2,1-2,2-2,3-2,4-2,5-2,6-2,7-2
0,,labels US,dessus_face,dessus_face_droit,dessus_profil_droit,dessus_arriere_droit,dessus_arriere,dessus_arriere_gauche,dessus_profil_gauche,dessus_face_gauche,face,face_droit,profil_droit,arriere_droit,arriere,arriere_gauche,profil_gauche,face_gauche
1,cup/test/cup_0094_SMPLER_centered_scaled_remeshing_iso_iter7,cup_0094_SMPLER,0.0,0.0,0.0,0.0,0.0,0.5,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.05,0.0
2,cup/train/cup_0019_SMPLER_centered_scaled_remeshing_iso_iter7,cup_0019_SMPLER,0.0,0.0,0.0,0.0,0.0,0.45,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.09,0.0
3,cup/test/cup_0097_SMPLER_centered_scaled_remeshing_iso_iter9,cup_0097_SMPLER,0.0,0.0,0.0,0.0,0.0,0.52,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.05,0.0
4,cup/train/cup_0037_SMPLER_centered_scaled_remeshing_iso_iter7,cup_0037_SMPLER,0.0,0.0,0.0,0.57,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.04,0.0,0.0,0.0
5,cup/train/cup_0060_SMPLER_centered_scaled_remeshing_iso_iter8,cup_0060_SMPLER,0.0,0.0,0.0,0.0,0.29,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.19,0.0,0.0
6,cup/train/cup_0054_SMPLER_centered_scaled_remeshing_iso_iter7,cup_0054_SMPLER,0.0,0.08,0.6,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0
7,cup/train/cup_0059_SMPLER_centered_scaled_remeshing_iso_iter8,cup_0059_SMPLER,0.0,0.0,0.0,0.04,0.6,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0
8,cup/train/cup_0028_SMPLER_centered_scaled_remeshing_iso_iter6,cup_0028_SMPLER,0.0,0.12,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.25,0.0,0.0,0.0,0.0,0.0
9,cup/train/cup_0039_SMPLER_centered_scaled_remeshing_iso_iter9,cup_0039_SMPLER,0.0,0.0,0.0,0.0,0.0,0.48,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.1,0.0
10,cup/test/cup_0092_SMPLER_centered_scaled_remeshing_iso_iter8,cup_0092_SMPLER,0.0,0.0,0.0,0.0,0.55,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.05,0.0,0.0
11,cup/train/cup_0042_SMPLER_centered_scaled_remeshing_iso_iter8,cup_0042_SMPLER,0.0,0.04,0.62,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0
12,cup/train/cup_0036_SMPLER_centered_scaled_remeshing_iso_iter6,cup_0036_SMPLER,0.0,0.0,0.0,0.0,0.23,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.0,0.0
13,cup/train/cup_0027_SMPLER_centered_scaled_remeshing_iso_iter10,cup_0027_SMPLER,0.0,0.0,0.0,0.0,0.0,0.04,0.62,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0
14,cup/train/cup_0009_SMPLER_centered_scaled_remeshing_iso_iter6,cup_0009_SMPLER,0.0,0.04,0.62,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0
15,cup/train/cup_0020_SMPLER_centered_scaled_remeshing_iso_iter7,cup_0020_SMPLER,0.0,0.0,0.18,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.0,0.0,0.0,0.0
16,cup/train/cup_0056_SMPLER_centered_scaled_remeshing_iso_iter7,cup_0056_SMPLER,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.19
17,cup/test/cup_0093_SMPLER_centered_scaled_remeshing_iso_iter3,cup_0093_SMPLER,0.0,0.0,0.0,0.0,0.0,0.55,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.05,0.0
18,cup/train/cup_0031_SMPLER_centered_scaled_remeshing_iso_iter8,cup_0031_SMPLER,0.0,0.0,0.0,0.0,0.0,0.58,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.04,0.0
19,cup/train/cup_0035_SMPLER_centered_scaled_remeshing_iso_iter10,cup_0035_SMPLER,0.0,0.0,0.0,0.04,0.62,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0
20,cup/train/cup_0073_SMPLER_centered_scaled_remeshing_iso_iter9,cup_0073_SMPLER,0.0,0.04,0.62,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0
21,cup/train/cup_0014_SMPLER_centered_scaled_remeshing_iso_iter12,cup_0014_SMPLER,0.0,0.0,0.18,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.0,0.0,0.0,0.0
22,cup/train/cup_0013_SMPLER_centered_scaled_remeshing_iso_iter7,cup_0013_SMPLER,0.0,0.08,0.6,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0
