,path,name,0-1,1-1,2-1,3-1,4-1,5-1,6-1,7-1,0-2,1-2,2-2,3-2,4-2,5-2,6-2,7-2
0,,labels US,dessus_face,dessus_face_droit,dessus_profil_droit,dessus_arriere_droit,dessus_arriere,dessus_arriere_gauche,dessus_profil_gauche,dessus_face_gauche,face,face_droit,profil_droit,arriere_droit,arriere,arriere_gauche,profil_gauche,face_gauche
1,dresser/test/dresser_0207_SMPLER_centered_scaled_remeshing_iso_iter6,dresser_0207_SMPLER,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.23
2,dresser/train/dresser_0121_SMPLER_centered_scaled_remeshing_iso_iter7,dresser_0121_SMPLER,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.23
3,dresser/train/dresser_0114_SMPLER_centered_scaled_remeshing_iso_iter9,dresser_0114_SMPLER,0.23,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.0,0.0,0.0,0.0,0.0,0.0
4,dresser/train/dresser_0155_SMPLER_centered_scaled_remeshing_iso_iter9,dresser_0155_SMPLER,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.23
5,dresser/test/dresser_0222_SMPLER_centered_scaled_remeshing_iso_iter8,dresser_0222_SMPLER,0.23,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.0,0.0,0.0,0.0,0.0,0.0
6,dresser/test/dresser_0219_SMPLER_centered_scaled_remeshing_iso_iter8,dresser_0219_SMPLER,0.23,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.0,0.0,0.0,0.0,0.0,0.0
7,dresser/test/dresser_0265_SMPLER_centered_scaled_remeshing_iso_iter7,dresser_0265_SMPLER,0.23,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.0,0.0,0.0,0.0,0.0,0.0
8,dresser/train/dresser_0081_SMPLER_centered_scaled_remeshing_iso_iter11,dresser_0081_SMPLER,0.23,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.0,0.0,0.0,0.0,0.0,0.0
9,dresser/train/dresser_0030_SMPLER_centered_scaled_remeshing_iso_iter6,dresser_0030_SMPLER,0.23,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.0,0.0,0.0,0.0,0.0,0.0
