,path,name,0-1,1-1,2-1,3-1,4-1,5-1,6-1,7-1,0-2,1-2,2-2,3-2,4-2,5-2,6-2,7-2
0,,labels US,dessus_face,dessus_face_droit,dessus_profil_droit,dessus_arriere_droit,dessus_arriere,dessus_arriere_gauche,dessus_profil_gauche,dessus_face_gauche,face,face_droit,profil_droit,arriere_droit,arriere,arriere_gauche,profil_gauche,face_gauche
1,tv_stand/test/tv_stand_0331_SMPLER_centered_scaled_remeshing_iso_iter9,tv_stand_0331,0.64,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,tv_stand/test/tv_stand_0343_SMPLER_centered_scaled_remeshing_iso_iter12,tv_stand_0343,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.23
3,tv_stand/test/tv_stand_0318_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0318,0.64,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,tv_stand/test/tv_stand_0348_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0348,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.23
5,tv_stand/test/tv_stand_0366_SMPLER_centered_scaled_remeshing_iso_iter11,tv_stand_0366,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23
6,tv_stand/train/tv_stand_0254_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0254,0.0,0.0,0.0,0.5,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.05,0.0,0.0,0.0
7,tv_stand/train/tv_stand_0058_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0058,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.23
8,tv_stand/train/tv_stand_0082_SMPLER_centered_scaled_remeshing_iso_iter10,tv_stand_0082,0.23,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.23,0.0,0.0,0.0,0.0,0.0,0.0
9,tv_stand/train/tv_stand_0059_SMPLER_centered_scaled_remeshing_iso_iter6,tv_stand_0059,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.23
