,path,name,0-1,1-1,2-1,3-1,4-1,5-1,6-1,7-1,0-2,1-2,2-2,3-2,4-2,5-2,6-2,7-2
0,,labels US,dessus_face,dessus_face_droit,dessus_profil_droit,dessus_arriere_droit,dessus_arriere,dessus_arriere_gauche,dessus_profil_gauche,dessus_face_gauche,face,face_droit,profil_droit,arriere_droit,arriere,arriere_gauche,profil_gauche,face_gauche
1,vase/train/vase_0450_SMPLER_centered_scaled_remeshing_iso_iter4,vase_0450_SMPLER,0.0,0.0,0.0,0.04,0.69,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0
2,vase/train/vase_0274_SMPLER_centered_scaled_remeshing_iso_iter5,vase_0274_SMPLER,0.19,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.24,0.0,0.0,0.0,0.0,0.0,0.0
3,vase/test/vase_0488_SMPLER_centered_scaled_remeshing_iso_iter10,vase_0488_SMPLER,0.0,0.0,0.0,0.0,0.22,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.17,0.0,0.0
4,vase/train/vase_0047_SMPLER_centered_scaled_remeshing_iso_iter6,vase_0047_SMPLER,0.0,0.0,0.0,0.57,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.04,0.0,0.0,0.0
5,vase/train/vase_0025_SMPLER_centered_scaled_remeshing_iso_iter4,vase_0025_SMPLER,0.19,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.24,0.0,0.0,0.0,0.0,0.0,0.0
6,vase/train/vase_0294_SMPLER_centered_scaled_remeshing_iso_iter6,vase_0294_SMPLER,0.0,0.0,0.0,0.0,0.22,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.17,0.0,0.0
7,vase/test/vase_0565_SMPLER_centered_scaled_remeshing_iso_iter5,vase_0565_SMPLER,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.24
8,vase/train/vase_0401_SMPLER_centered_scaled_remeshing_iso_iter5,vase_0401_SMPLER,0.54,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,vase/train/vase_0197_SMPLER_centered_scaled_remeshing_iso_iter5,vase_0197_SMPLER,0.0,0.0,0.0,0.04,0.69,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0
10,vase/train/vase_0292_SMPLER_centered_scaled_remeshing_iso_iter7,vase_0292_SMPLER,0.0,0.0,0.0,0.57,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.04,0.0,0.0,0.0
11,vase/train/vase_0461_SMPLER_centered_scaled_remeshing_iso_iter7,vase_0461_SMPLER,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.24
12,vase/train/vase_0213_SMPLER_centered_scaled_remeshing_iso_iter7,vase_0213_SMPLER,0.0,0.0,0.23,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.18,0.0,0.0,0.0,0.0
13,vase/train/vase_0174_SMPLER_centered_scaled_remeshing_iso_iter8,vase_0174_SMPLER,0.0,0.0,0.0,0.0,0.0,0.04,0.62,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0
14,vase/test/vase_0515_SMPLER_centered_scaled_remeshing_iso_iter9,vase_0515_SMPLER,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.24
15,vase/test/vase_0564_SMPLER_centered_scaled_remeshing_iso_iter9,vase_0564_SMPLER,0.0,0.0,0.0,0.0,0.22,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.17,0.0,0.0
16,vase/train/vase_0426_SMPLER_centered_scaled_remeshing_iso_iter4,vase_0426_SMPLER,0.0,0.0,0.23,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.18,0.0,0.0,0.0,0.0
17,vase/test/vase_0528_SMPLER_centered_scaled_remeshing_iso_iter7,vase_0528_SMPLER,0.54,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,vase/train/vase_0021_SMPLER_centered_scaled_remeshing_iso_iter4,vase_0021_SMPLER,0.0,0.0,0.23,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.18,0.0,0.0,0.0,0.0
19,vase/test/vase_0478_SMPLER_centered_scaled_remeshing_iso_iter5,vase_0478_SMPLER,0.0,0.0,0.0,0.0,0.0,0.04,0.62,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0
20,vase/train/vase_0270_SMPLER_centered_scaled_remeshing_iso_iter5,vase_0270_SMPLER,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.24
21,vase/train/vase_0168_SMPLER_centered_scaled_remeshing_iso_iter4,vase_0168_SMPLER,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.24
