,categorie - + axe sym,PS,Dnom,Dord,Dmod,L2_norm,L1_norm,cos_sim,fourier_dist,corr-pv,kl_div,js_div,bhatta_dist,circu_dist
0,ideal,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[1. 0.],0.0,0.0,-0.001,0.0
2,carVasa_sym - 0/38,"(np.float64(0.73), 'C')",,,,,,,,[nan nan],,,,
3,cup_sym - 11/22,"(np.int64(1), 'C')",0.199,0.472,0.328,0.211,0.397,0.942,0.471,[0.88  0.049],0.225,0.221,0.056,0.397
4,A380_sym - 0/185,"(np.float64(0.73), 'C')",,,,,,,,[nan nan],,,,
5,cabinet-d_sym - 0/43,"(np.float64(0.75), 'W')",,,,,,,,[nan nan],,,,
6,cabinet-t_sym - 0/63,"(np.float64(0.75), 'W')",,,,,,,,[nan nan],,,,
7,bench_sym - 0/47,"(np.int64(1), 'C')",,,,,,,,[nan nan],,,,
8,cabinet-n_sym - 0/40,"(np.float64(0.75), 'W')",,,,,,,,[nan nan],,,,
9,vase_sym - 118/157,"(np.int64(1), 'C')",0.174,0.353,0.229,0.173,0.348,0.952,0.387,[0.874 0.053],0.106,0.153,0.025,0.348
10,chair107_sym - 0/249,"(np.float64(0.73), 'C')",,,,,,,,[nan nan],,,,
