,categorie - 0 axe sym,PS,Dnom,Dord,Dmod,L2_norm,L1_norm,cos_sim,fourier_dist,corr-pv,kl_div,js_div,bhatta_dist,circu_dist
0,ideal,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[1. 0.],0.0,0.0,-0.0,0.0
2,carVasa - 9/38,"(np.float64(0.73), 'C')",0.466,1.871,0.995,0.434,0.931,0.612,1.227,[0.186 0.659],0.876,0.478,0.328,0.931
3,cup - 1/22,"(np.float64(0.202), 'W')",0.722,2.935,1.893,0.745,1.443,0.305,2.107,[-0.121  0.775],2.134,0.657,0.841,1.167
4,A380 - 20/185,"(np.int64(1), 'C')",0.211,0.548,0.358,0.178,0.421,0.906,0.503,[0.62  0.101],0.125,0.176,0.031,0.421
5,cabinet-d - 3/43,"(np.int64(1), 'C')",0.152,0.717,0.253,0.149,0.304,0.972,0.421,[0.959 0.   ],0.105,0.183,0.046,0.304
6,cabinet-t - 10/63,"(np.float64(0.75), 'W')",0.336,0.745,0.743,0.348,0.673,0.772,0.984,[0.563 0.147],inf,0.406,0.247,0.673
7,bench - 1/47,"(np.float64(0.73), 'C')",0.53,2.222,1.358,0.588,1.06,0.631,1.662,[0.484 0.224],0.99,0.516,0.428,1.0
8,chair107 - 0/249,"(np.float64(0.73), 'C')",,,,,,,,[nan nan],,,,
9,cabinet-n - 1/40,"(np.float64(1.0), 'W')",0.429,2.133,0.819,0.526,0.858,0.718,1.489,[0.617 0.103],0.61,0.433,0.293,0.858
10,vase - 18/157,"(np.float64(0.408), 'W')",0.256,0.427,0.413,0.266,0.513,0.803,0.751,[0.308 0.458],0.213,0.234,0.058,0.513
