,path,name,0-1,1-1,2-1,3-1,4-1,5-1,6-1,7-1
0,,labels US,dessus_face,dessus_face_droit,dessus_profil_droit,dessus_arriere_droit,dessus_arriere,dessus_arriere_gauche,dessus_profil_gauche,dessus_face_gauche
1,airplane/test/airplane_0689_SMPLER_centered_scaled_remeshing_iso_iter7,airplane_0689_SMPLER,0.0,0.0,0.44,0.56,0.0,0.0,0.0,0.0
2,airplane/test/airplane_0706_SMPLER_centered_scaled_remeshing_iso_iter4,airplane_0706_SMPLER,0.0,0.0,0.0,0.0,0.06,0.88,0.06,0.0
3,airplane/test/airplane_0661_SMPLER_centered_scaled_remeshing_iso_iter4,airplane_0661_SMPLER,0.0,0.0,0.0,0.0,0.11,0.83,0.06,0.0
4,airplane/test/airplane_0631_SMPLER_centered_scaled_remeshing_iso_iter6,airplane_0631_SMPLER,0.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0
5,airplane/test/airplane_0656_SMPLER_centered_scaled_remeshing_iso_iter4,airplane_0656_SMPLER,0.0,0.0,0.0,0.0,0.0,0.18,0.82,0.0
6,airplane/test/airplane_0697_SMPLER_centered_scaled_remeshing_iso_iter5,airplane_0697_SMPLER,0.0,0.81,0.19,0.0,0.0,0.0,0.0,0.0
7,airplane/test/airplane_0719_SMPLER_centered_scaled_remeshing_iso_iter6,airplane_0719_SMPLER,0.0,0.0,0.0,0.0,0.0,0.82,0.18,0.0
8,airplane/test/airplane_0676_SMPLER_centered_scaled_remeshing_iso_iter6,airplane_0676_SMPLER,0.88,0.06,0.0,0.0,0.0,0.0,0.0,0.06
9,airplane/test/airplane_0703_SMPLER_centered_scaled_remeshing_iso_iter6,airplane_0703_SMPLER,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.62
10,airplane/test/airplane_0707_SMPLER_centered_scaled_remeshing_iso_iter7,airplane_0707_SMPLER,0.0,0.0,0.0,0.0,0.0,0.11,0.83,0.06
11,airplane/test/airplane_0698_SMPLER_centered_scaled_remeshing_iso_iter4,airplane_0698_SMPLER,0.0,0.19,0.81,0.0,0.0,0.0,0.0,0.0
12,airplane/test/airplane_0654_SMPLER_centered_scaled_remeshing_iso_iter6,airplane_0654_SMPLER,0.0,0.0,0.47,0.53,0.0,0.0,0.0,0.0
13,airplane/test/airplane_0684_SMPLER_centered_scaled_remeshing_iso_iter5,airplane_0684_SMPLER,0.0,0.0,0.44,0.56,0.0,0.0,0.0,0.0
14,airplane/test/airplane_0691_SMPLER_centered_scaled_remeshing_iso_iter7,airplane_0691_SMPLER,0.0,0.0,0.31,0.69,0.0,0.0,0.0,0.0
15,airplane/test/airplane_0699_SMPLER_centered_scaled_remeshing_iso_iter4,airplane_0699_SMPLER,0.0,0.11,0.83,0.06,0.0,0.0,0.0,0.0
16,airplane/test/airplane_0675_SMPLER_centered_scaled_remeshing_iso_iter8,airplane_0675_SMPLER,0.0,0.0,0.0,0.0,0.0,0.18,0.82,0.0
17,airplane/test/airplane_0629_SMPLER_centered_scaled_remeshing_iso_iter8,airplane_0629_SMPLER,0.0,0.69,0.31,0.0,0.0,0.0,0.0,0.0
18,airplane/test/airplane_0672_SMPLER_centered_scaled_remeshing_iso_iter5,airplane_0672_SMPLER,0.0,0.11,0.83,0.06,0.0,0.0,0.0,0.0
19,airplane/test/airplane_0688_SMPLER_centered_scaled_remeshing_iso_iter4,airplane_0688_SMPLER,0.0,0.0,0.0,0.0,0.0,0.06,0.88,0.06
20,airplane/test/airplane_0681_SMPLER_centered_scaled_remeshing_iso_iter7,airplane_0681_SMPLER,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0
21,airplane/test/airplane_0718_SMPLER_centered_scaled_remeshing_iso_iter7,airplane_0718_SMPLER,0.0,0.0,0.0,0.0,0.0,0.76,0.24,0.0
22,airplane/test/airplane_0724_SMPLER_centered_scaled_remeshing_iso_iter6,airplane_0724_SMPLER,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67
23,airplane/test/airplane_0716_SMPLER_centered_scaled_remeshing_iso_iter4,airplane_0716_SMPLER,0.0,0.0,0.38,0.62,0.0,0.0,0.0,0.0
24,airplane/test/airplane_0673_SMPLER_centered_scaled_remeshing_iso_iter5,airplane_0673_SMPLER,0.0,0.06,0.88,0.06,0.0,0.0,0.0,0.0
25,airplane/train/airplane_0313_SMPLER_centered_scaled_remeshing_iso_iter4,airplane_0313_SMPLER,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
26,airplane/train/airplane_0181_SMPLER_centered_scaled_remeshing_iso_iter4,airplane_0181_SMPLER,0.0,0.0,0.44,0.56,0.0,0.0,0.0,0.0
27,airplane/train/airplane_0577_SMPLER_centered_scaled_remeshing_iso_iter4,airplane_0577_SMPLER,0.0,0.81,0.19,0.0,0.0,0.0,0.0,0.0
28,airplane/train/airplane_0451_SMPLER_centered_scaled_remeshing_iso_iter4,airplane_0451_SMPLER,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0
29,airplane/train/airplane_0374_SMPLER_centered_scaled_remeshing_iso_iter7,airplane_0374_SMPLER,0.0,0.0,0.0,0.0,0.0,0.06,0.88,0.06
