,path,name,0-1,1-1,2-1,3-1,4-1,5-1,6-1,7-1
0,,labels US,dessus_face,dessus_face_droit,dessus_profil_droit,dessus_arriere_droit,dessus_arriere,dessus_arriere_gauche,dessus_profil_gauche,dessus_face_gauche
1,airplane/train/airplane_0355_SMPLER_centered_scaled_remeshing_iso_iter9,airplane_0355,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
2,airplane/train/airplane_0267_SMPLER_centered_scaled_remeshing_iso_iter6,airplane_0267,0.62,0.38,0.0,0.0,0.0,0.0,0.0,0.0
3,airplane/test/airplane_0688_SMPLER_centered_scaled_remeshing_iso_iter4,airplane_0688,0.0,0.0,0.0,0.0,0.0,0.06,0.88,0.06
4,airplane/train/airplane_0137_SMPLER_centered_scaled_remeshing_iso_iter8,airplane_0137,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
5,airplane/train/airplane_0584_SMPLER_centered_scaled_remeshing_iso_iter7,airplane_0584,0.0,0.88,0.12,0.0,0.0,0.0,0.0,0.0
6,airplane/train/airplane_0492_SMPLER_centered_scaled_remeshing_iso_iter6,airplane_0492,0.0,0.0,0.0,0.0,0.0,0.06,0.88,0.06
7,airplane/train/airplane_0321_SMPLER_centered_scaled_remeshing_iso_iter4,airplane_0321,0.0,0.0,0.38,0.62,0.0,0.0,0.0,0.0
8,airplane/train/airplane_0119_SMPLER_centered_scaled_remeshing_iso_iter3,airplane_0119,0.0,0.82,0.18,0.0,0.0,0.0,0.0,0.0
9,airplane/train/airplane_0238_SMPLER_centered_scaled_remeshing_iso_iter4,airplane_0238,0.88,0.06,0.0,0.0,0.0,0.0,0.0,0.06
10,airplane/train/airplane_0106_SMPLER_centered_scaled_remeshing_iso_iter13,airplane_0106,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
11,airplane/train/airplane_0466_SMPLER_centered_scaled_remeshing_iso_iter4,airplane_0466,0.0,0.11,0.83,0.06,0.0,0.0,0.0,0.0
12,airplane/test/airplane_0718_SMPLER_centered_scaled_remeshing_iso_iter7,airplane_0718,0.0,0.0,0.0,0.0,0.0,0.76,0.24,0.0
13,airplane/train/airplane_0548_SMPLER_centered_scaled_remeshing_iso_iter8,airplane_0548,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0
14,airplane/train/airplane_0624_SMPLER_centered_scaled_remeshing_iso_iter5,airplane_0624,0.0,0.0,0.31,0.69,0.0,0.0,0.0,0.0
15,airplane/test/airplane_0656_SMPLER_centered_scaled_remeshing_iso_iter4,airplane_0656,0.0,0.0,0.0,0.0,0.0,0.18,0.82,0.0
16,airplane/train/airplane_0044_SMPLER_centered_scaled_remeshing_iso_iter8,airplane_0044,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0
17,airplane/test/airplane_0675_SMPLER_centered_scaled_remeshing_iso_iter8,airplane_0675,0.0,0.0,0.0,0.0,0.0,0.18,0.82,0.0
18,airplane/test/airplane_0697_SMPLER_centered_scaled_remeshing_iso_iter5,airplane_0697,0.0,0.81,0.19,0.0,0.0,0.0,0.0,0.0
19,airplane/train/airplane_0301_SMPLER_centered_scaled_remeshing_iso_iter5,airplane_0301,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.33
20,airplane/train/airplane_0115_SMPLER_centered_scaled_remeshing_iso_iter7,airplane_0115,0.38,0.62,0.0,0.0,0.0,0.0,0.0,0.0
21,airplane/train/airplane_0354_SMPLER_centered_scaled_remeshing_iso_iter4,airplane_0354,0.0,0.0,0.0,0.0,0.0,0.81,0.19,0.0
22,airplane/train/airplane_0132_SMPLER_centered_scaled_remeshing_iso_iter4,airplane_0132,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0
23,airplane/train/airplane_0002_SMPLER_centered_scaled_remeshing_iso_iter8,airplane_0002,0.88,0.06,0.0,0.0,0.0,0.0,0.0,0.06
24,airplane/train/airplane_0012_SMPLER_centered_scaled_remeshing_iso_iter6,airplane_0012,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.62
25,airplane/train/airplane_0247_SMPLER_centered_scaled_remeshing_iso_iter9,airplane_0247,0.0,0.11,0.83,0.06,0.0,0.0,0.0,0.0
26,airplane/train/airplane_0111_SMPLER_centered_scaled_remeshing_iso_iter7,airplane_0111,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0
