,path,name,0-1,1-1,2-1,3-1,4-1,5-1,6-1,7-1
0,,labels US,dessus_face,dessus_face_droit,dessus_profil_droit,dessus_arriere_droit,dessus_arriere,dessus_arriere_gauche,dessus_profil_gauche,dessus_face_gauche
1,car/test/car_0265_SMPLER_centered_scaled_remeshing_iso_iter5,car_0265_SMPLER,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.64
2,car/test/car_0199_SMPLER_centered_scaled_remeshing_iso_iter5,car_0199_SMPLER,0.0,0.09,0.86,0.05,0.0,0.0,0.0,0.0
3,car/test/car_0283_SMPLER_centered_scaled_remeshing_iso_iter3,car_0283_SMPLER,0.0,0.05,0.86,0.09,0.0,0.0,0.0,0.0
4,car/test/car_0253_SMPLER_centered_scaled_remeshing_iso_iter5,car_0253_SMPLER,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0
5,car/test/car_0267_SMPLER_centered_scaled_remeshing_iso_iter5,car_0267_SMPLER,0.0,0.0,0.26,0.74,0.0,0.0,0.0,0.0
6,car/test/car_0246_SMPLER_centered_scaled_remeshing_iso_iter7,car_0246_SMPLER,0.0,0.0,0.0,0.0,0.0,0.07,0.86,0.07
7,car/test/car_0296_SMPLER_centered_scaled_remeshing_iso_iter8,car_0296_SMPLER,0.0,0.06,0.88,0.06,0.0,0.0,0.0,0.0
8,car/test/car_0219_SMPLER_centered_scaled_remeshing_iso_iter4,car_0219_SMPLER,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.69
9,car/test/car_0264_SMPLER_centered_scaled_remeshing_iso_iter5,car_0264_SMPLER,0.0,0.0,0.0,0.0,0.0,0.06,0.89,0.06
10,car/train/car_0089_SMPLER_centered_scaled_remeshing_iso_iter5,car_0089_SMPLER,0.0,0.11,0.83,0.06,0.0,0.0,0.0,0.0
11,car/train/car_0080_SMPLER_centered_scaled_remeshing_iso_iter3,car_0080_SMPLER,0.0,0.0,0.0,0.0,0.0,0.06,0.89,0.06
12,car/train/car_0151_SMPLER_centered_scaled_remeshing_iso_iter6,car_0151_SMPLER,0.0,0.12,0.88,0.0,0.0,0.0,0.0,0.0
13,car/train/car_0136_SMPLER_centered_scaled_remeshing_iso_iter7,car_0136_SMPLER,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0
14,car/train/car_0076_SMPLER_centered_scaled_remeshing_iso_iter5,car_0076_SMPLER,0.0,0.0,0.0,0.0,0.0,0.11,0.83,0.06
15,car/train/car_0112_SMPLER_centered_scaled_remeshing_iso_iter4,car_0112_SMPLER,0.0,0.0,0.0,0.0,0.0,0.11,0.83,0.06
16,car/train/car_0094_SMPLER_centered_scaled_remeshing_iso_iter6,car_0094_SMPLER,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.69
17,car/train/car_0147_SMPLER_centered_scaled_remeshing_iso_iter5,car_0147_SMPLER,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.73
18,car/train/car_0036_SMPLER_centered_scaled_remeshing_iso_iter5,car_0036_SMPLER,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0
19,car/train/car_0083_SMPLER_centered_scaled_remeshing_iso_iter4,car_0083_SMPLER,0.0,0.0,0.0,0.0,0.0,0.06,0.89,0.06
20,car/train/car_0082_SMPLER_centered_scaled_remeshing_iso_iter4,car_0082_SMPLER,0.0,0.0,0.0,0.0,0.0,0.07,0.86,0.07
21,car/train/car_0157_SMPLER_centered_scaled_remeshing_iso_iter4,car_0157_SMPLER,0.0,0.0,0.0,0.0,0.0,0.06,0.89,0.06
22,car/train/car_0124_SMPLER_centered_scaled_remeshing_iso_iter5,car_0124_SMPLER,0.0,0.0,0.0,0.0,0.0,0.07,0.86,0.07
23,car/train/car_0108_SMPLER_centered_scaled_remeshing_iso_iter7,car_0108_SMPLER,0.0,0.0,0.0,0.0,0.0,0.11,0.83,0.06
24,car/train/car_0110_SMPLER_centered_scaled_remeshing_iso_iter5,car_0110_SMPLER,0.0,0.65,0.35,0.0,0.0,0.0,0.0,0.0
25,car/train/car_0166_SMPLER_centered_scaled_remeshing_iso_iter4,car_0166_SMPLER,0.0,0.0,0.0,0.0,0.0,0.06,0.89,0.06
26,car/train/car_0139_SMPLER_centered_scaled_remeshing_iso_iter3,car_0139_SMPLER,0.0,0.07,0.86,0.07,0.0,0.0,0.0,0.0
27,car/train/car_0062_SMPLER_centered_scaled_remeshing_iso_iter5,car_0062_SMPLER,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.69
28,car/train/car_0037_SMPLER_centered_scaled_remeshing_iso_iter7,car_0037_SMPLER,0.0,0.0,0.0,0.0,0.0,0.06,0.89,0.06
29,car/train/car_0006_SMPLER_centered_scaled_remeshing_iso_iter5,car_0006_SMPLER,0.0,0.0,0.22,0.78,0.0,0.0,0.0,0.0
