,path,name,0-1,1-1,2-1,3-1,4-1,5-1,6-1,7-1
0,,labels US,dessus_face,dessus_face_droit,dessus_profil_droit,dessus_arriere_droit,dessus_arriere,dessus_arriere_gauche,dessus_profil_gauche,dessus_face_gauche
1,cup/test/cup_0092_SMPLER_centered_scaled_remeshing_iso_iter8,cup_0092_SMPLER,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0
2,cup/test/cup_0097_SMPLER_centered_scaled_remeshing_iso_iter9,cup_0097_SMPLER,0.0,0.0,0.0,0.0,0.0,0.69,0.31,0.0
3,cup/train/cup_0028_SMPLER_centered_scaled_remeshing_iso_iter6,cup_0028_SMPLER,0.0,0.18,0.82,0.0,0.0,0.0,0.0,0.0
4,cup/train/cup_0031_SMPLER_centered_scaled_remeshing_iso_iter8,cup_0031_SMPLER,0.0,0.0,0.0,0.0,0.0,0.82,0.18,0.0
5,cup/train/cup_0037_SMPLER_centered_scaled_remeshing_iso_iter7,cup_0037_SMPLER,0.0,0.0,0.0,0.81,0.19,0.0,0.0,0.0
6,cup/train/cup_0009_SMPLER_centered_scaled_remeshing_iso_iter6,cup_0009_SMPLER,0.0,0.06,0.88,0.06,0.0,0.0,0.0,0.0
7,cup/train/cup_0027_SMPLER_centered_scaled_remeshing_iso_iter10,cup_0027_SMPLER,0.0,0.0,0.0,0.0,0.0,0.06,0.88,0.06
8,cup/train/cup_0060_SMPLER_centered_scaled_remeshing_iso_iter8,cup_0060_SMPLER,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0
9,cup/train/cup_0042_SMPLER_centered_scaled_remeshing_iso_iter8,cup_0042_SMPLER,0.0,0.06,0.88,0.06,0.0,0.0,0.0,0.0
10,cup/train/cup_0054_SMPLER_centered_scaled_remeshing_iso_iter7,cup_0054_SMPLER,0.0,0.11,0.83,0.06,0.0,0.0,0.0,0.0
11,cup/train/cup_0035_SMPLER_centered_scaled_remeshing_iso_iter10,cup_0035_SMPLER,0.0,0.0,0.0,0.06,0.88,0.06,0.0,0.0
