,path,name,0-1,1-1,2-1,3-1,4-1,5-1,6-1,7-1
0,,labels US,dessus_face,dessus_face_droit,dessus_profil_droit,dessus_arriere_droit,dessus_arriere,dessus_arriere_gauche,dessus_profil_gauche,dessus_face_gauche
1,cup/test/cup_0094_SMPLER_centered_scaled_remeshing_iso_iter7,cup_0094_SMPLER,0.0,0.0,0.0,0.0,0.0,0.69,0.31,0.0
2,cup/test/cup_0093_SMPLER_centered_scaled_remeshing_iso_iter3,cup_0093_SMPLER,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0
3,cup/train/cup_0014_SMPLER_centered_scaled_remeshing_iso_iter12,cup_0014_SMPLER,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0
4,cup/train/cup_0036_SMPLER_centered_scaled_remeshing_iso_iter6,cup_0036_SMPLER,0.0,0.0,0.0,0.0,0.31,0.69,0.0,0.0
5,cup/train/cup_0073_SMPLER_centered_scaled_remeshing_iso_iter9,cup_0073_SMPLER,0.0,0.06,0.88,0.06,0.0,0.0,0.0,0.0
6,cup/train/cup_0020_SMPLER_centered_scaled_remeshing_iso_iter7,cup_0020_SMPLER,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0
7,cup/train/cup_0059_SMPLER_centered_scaled_remeshing_iso_iter8,cup_0059_SMPLER,0.0,0.0,0.0,0.06,0.83,0.11,0.0,0.0
8,cup/train/cup_0019_SMPLER_centered_scaled_remeshing_iso_iter7,cup_0019_SMPLER,0.0,0.0,0.0,0.0,0.0,0.62,0.38,0.0
9,cup/train/cup_0013_SMPLER_centered_scaled_remeshing_iso_iter7,cup_0013_SMPLER,0.0,0.11,0.83,0.06,0.0,0.0,0.0,0.0
10,cup/train/cup_0039_SMPLER_centered_scaled_remeshing_iso_iter9,cup_0039_SMPLER,0.0,0.0,0.0,0.0,0.0,0.67,0.33,0.0
