,path,name,0-1,1-1,2-1,3-1,4-1,5-1,6-1,7-1
0,,labels US,dessus_face,dessus_face_droit,dessus_profil_droit,dessus_arriere_droit,dessus_arriere,dessus_arriere_gauche,dessus_profil_gauche,dessus_face_gauche
1,dresser/test/dresser_0252_SMPLER_centered_scaled_remeshing_iso_iter14,dresser_0252_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
2,dresser/test/dresser_0264_SMPLER_centered_scaled_remeshing_iso_iter8,dresser_0264_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
3,dresser/test/dresser_0254_SMPLER_centered_scaled_remeshing_iso_iter11,dresser_0254_SMPLER,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
4,dresser/test/dresser_0222_SMPLER_centered_scaled_remeshing_iso_iter8,dresser_0222_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
5,dresser/test/dresser_0207_SMPLER_centered_scaled_remeshing_iso_iter6,dresser_0207_SMPLER,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
6,dresser/test/dresser_0236_SMPLER_centered_scaled_remeshing_iso_iter6,dresser_0236_SMPLER,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
7,dresser/test/dresser_0275_SMPLER_centered_scaled_remeshing_iso_iter8,dresser_0275_SMPLER,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
8,dresser/test/dresser_0279_SMPLER_centered_scaled_remeshing_iso_iter15,dresser_0279_SMPLER,0.89,0.06,0.0,0.0,0.0,0.0,0.0,0.06
9,dresser/test/dresser_0265_SMPLER_centered_scaled_remeshing_iso_iter7,dresser_0265_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
10,dresser/test/dresser_0283_SMPLER_centered_scaled_remeshing_iso_iter10,dresser_0283_SMPLER,0.0,0.0,0.0,0.69,0.31,0.0,0.0,0.0
11,dresser/test/dresser_0219_SMPLER_centered_scaled_remeshing_iso_iter8,dresser_0219_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
12,dresser/test/dresser_0282_SMPLER_centered_scaled_remeshing_iso_iter6,dresser_0282_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
13,dresser/test/dresser_0266_SMPLER_centered_scaled_remeshing_iso_iter8,dresser_0266_SMPLER,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
14,dresser/train/dresser_0085_SMPLER_centered_scaled_remeshing_iso_iter8,dresser_0085_SMPLER,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
15,dresser/train/dresser_0036_SMPLER_centered_scaled_remeshing_iso_iter8,dresser_0036_SMPLER,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
16,dresser/train/dresser_0058_SMPLER_centered_scaled_remeshing_iso_iter11,dresser_0058_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
17,dresser/train/dresser_0117_SMPLER_centered_scaled_remeshing_iso_iter7,dresser_0117_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
18,dresser/train/dresser_0131_SMPLER_centered_scaled_remeshing_iso_iter9,dresser_0131_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
19,dresser/train/dresser_0121_SMPLER_centered_scaled_remeshing_iso_iter7,dresser_0121_SMPLER,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
20,dresser/train/dresser_0081_SMPLER_centered_scaled_remeshing_iso_iter11,dresser_0081_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
21,dresser/train/dresser_0118_SMPLER_centered_scaled_remeshing_iso_iter8,dresser_0118_SMPLER,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
22,dresser/train/dresser_0126_SMPLER_centered_scaled_remeshing_iso_iter8,dresser_0126_SMPLER,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
23,dresser/train/dresser_0114_SMPLER_centered_scaled_remeshing_iso_iter9,dresser_0114_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
24,dresser/train/dresser_0191_SMPLER_centered_scaled_remeshing_iso_iter9,dresser_0191_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
25,dresser/train/dresser_0071_SMPLER_centered_scaled_remeshing_iso_iter9,dresser_0071_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
26,dresser/train/dresser_0020_SMPLER_centered_scaled_remeshing_iso_iter9,dresser_0020_SMPLER,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
27,dresser/train/dresser_0151_SMPLER_centered_scaled_remeshing_iso_iter8,dresser_0151_SMPLER,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
28,dresser/train/dresser_0143_SMPLER_centered_scaled_remeshing_iso_iter9,dresser_0143_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
29,dresser/train/dresser_0016_SMPLER_centered_scaled_remeshing_iso_iter6,dresser_0016_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
30,dresser/train/dresser_0144_SMPLER_centered_scaled_remeshing_iso_iter9,dresser_0144_SMPLER,0.0,0.0,0.0,0.69,0.31,0.0,0.0,0.0
31,dresser/train/dresser_0065_SMPLER_centered_scaled_remeshing_iso_iter7,dresser_0065_SMPLER,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
32,dresser/train/dresser_0132_SMPLER_centered_scaled_remeshing_iso_iter9,dresser_0132_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
33,dresser/train/dresser_0112_SMPLER_centered_scaled_remeshing_iso_iter9,dresser_0112_SMPLER,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
34,dresser/train/dresser_0030_SMPLER_centered_scaled_remeshing_iso_iter6,dresser_0030_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
35,dresser/train/dresser_0184_SMPLER_centered_scaled_remeshing_iso_iter15,dresser_0184_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
36,dresser/train/dresser_0155_SMPLER_centered_scaled_remeshing_iso_iter9,dresser_0155_SMPLER,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
37,dresser/train/dresser_0173_SMPLER_centered_scaled_remeshing_iso_iter8,dresser_0173_SMPLER,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
38,dresser/train/dresser_0037_SMPLER_centered_scaled_remeshing_iso_iter10,dresser_0037_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
39,dresser/train/dresser_0164_SMPLER_centered_scaled_remeshing_iso_iter9,dresser_0164_SMPLER,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
40,dresser/train/dresser_0187_SMPLER_centered_scaled_remeshing_iso_iter8,dresser_0187_SMPLER,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
