,path,name,0-1,1-1,2-1,3-1,4-1,5-1,6-1,7-1
0,,labels US,dessus_face,dessus_face_droit,dessus_profil_droit,dessus_arriere_droit,dessus_arriere,dessus_arriere_gauche,dessus_profil_gauche,dessus_face_gauche
1,dresser/train/dresser_0118_SMPLER_centered_scaled_remeshing_iso_iter8,dresser_0118_SMPLER,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
2,dresser/train/dresser_0131_SMPLER_centered_scaled_remeshing_iso_iter9,dresser_0131_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
3,dresser/train/dresser_0085_SMPLER_centered_scaled_remeshing_iso_iter8,dresser_0085_SMPLER,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
4,dresser/test/dresser_0236_SMPLER_centered_scaled_remeshing_iso_iter6,dresser_0236_SMPLER,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
5,dresser/train/dresser_0144_SMPLER_centered_scaled_remeshing_iso_iter9,dresser_0144_SMPLER,0.0,0.0,0.0,0.69,0.31,0.0,0.0,0.0
6,dresser/train/dresser_0030_SMPLER_centered_scaled_remeshing_iso_iter6,dresser_0030_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
7,dresser/train/dresser_0037_SMPLER_centered_scaled_remeshing_iso_iter10,dresser_0037_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
8,dresser/test/dresser_0219_SMPLER_centered_scaled_remeshing_iso_iter8,dresser_0219_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
9,dresser/test/dresser_0254_SMPLER_centered_scaled_remeshing_iso_iter11,dresser_0254_SMPLER,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
10,dresser/test/dresser_0264_SMPLER_centered_scaled_remeshing_iso_iter8,dresser_0264_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
11,dresser/train/dresser_0132_SMPLER_centered_scaled_remeshing_iso_iter9,dresser_0132_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
