,categorie - All axe sym,PS,Dnom,Dord,Dmod,L2_norm,L1_norm,cos_sim,fourier_dist,corr-pv,kl_div,js_div,bhatta_dist,circu_dist
0,ideal,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[1. 0.],0.0,0.0,-0.0,0.0
2,carVasa - 38/38,"(np.float64(0.73), 'C')",0.526,1.411,0.813,0.449,1.051,0.565,1.269,[0.048 0.911],0.777,0.428,0.226,1.051
3,cup - 22/22,"(np.float64(0.73), 'C')",0.227,0.437,0.435,0.199,0.454,0.901,0.564,[0.738 0.037],0.194,0.217,0.055,0.454
4,A380 - 185/185,"(np.float64(0.73), 'C')",0.333,0.564,0.548,0.258,0.666,0.795,0.729,[0.066 0.877],0.261,0.252,0.067,0.666
5,cabinet-d - 43/43,"(np.int64(1), 'C')",0.09,0.175,0.135,0.079,0.181,0.99,0.224,[0.983 0.   ],inf,0.208,0.064,0.181
6,cabinet-t - 63/63,"(np.float64(0.75), 'W')",0.436,0.909,0.909,0.362,0.872,0.749,1.025,[0.509 0.197],inf,0.416,0.258,0.872
7,bench - 47/47,"(np.int64(1), 'C')",0.21,0.862,0.468,0.225,0.419,0.943,0.637,[0.96 0.  ],0.136,0.193,0.042,0.419
8,chair107 - 249/249,"(np.int64(1), 'C')",0.199,0.627,0.379,0.165,0.398,0.953,0.467,[0.944 0.   ],0.137,0.194,0.04,0.398
9,cabinet-n - 40/40,"(np.int64(1), 'C')",0.212,0.816,0.46,0.189,0.423,0.936,0.535,[0.886 0.003],inf,0.269,0.105,0.423
10,vase - 157/157,"(np.int64(1), 'C')",0.257,0.603,0.529,0.213,0.514,0.877,0.601,[0.663 0.073],0.17,0.2,0.043,0.514
