,path,name,0-1,1-1,2-1,3-1,4-1,5-1,6-1,7-1
0,,labels US,dessus_face,dessus_face_droit,dessus_profil_droit,dessus_arriere_droit,dessus_arriere,dessus_arriere_gauche,dessus_profil_gauche,dessus_face_gauche
1,night_stand/test/night_stand_0221_SMPLER_centered_scaled_remeshing_iso_iter7,night_stand_0221,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
2,night_stand/test/night_stand_0248_SMPLER_centered_scaled_remeshing_iso_iter6,night_stand_0248,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
3,night_stand/test/night_stand_0279_SMPLER_centered_scaled_remeshing_iso_iter7,night_stand_0279,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
4,night_stand/test/night_stand_0272_SMPLER_centered_scaled_remeshing_iso_iter8,night_stand_0272,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
5,night_stand/test/night_stand_0223_SMPLER_centered_scaled_remeshing_iso_iter11,night_stand_0223,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
6,night_stand/test/night_stand_0259_SMPLER_centered_scaled_remeshing_iso_iter8,night_stand_0259,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
7,night_stand/test/night_stand_0219_SMPLER_centered_scaled_remeshing_iso_iter8,night_stand_0219,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
8,night_stand/train/night_stand_0040_SMPLER_centered_scaled_remeshing_iso_iter8,night_stand_0040,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.69
9,night_stand/train/night_stand_0058_SMPLER_centered_scaled_remeshing_iso_iter8,night_stand_0058,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
10,night_stand/train/night_stand_0166_SMPLER_centered_scaled_remeshing_iso_iter8,night_stand_0166,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
11,night_stand/train/night_stand_0086_SMPLER_centered_scaled_remeshing_iso_iter8,night_stand_0086,0.0,0.0,0.0,0.69,0.31,0.0,0.0,0.0
12,night_stand/train/night_stand_0138_SMPLER_centered_scaled_remeshing_iso_iter6,night_stand_0138,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
13,night_stand/train/night_stand_0194_SMPLER_centered_scaled_remeshing_iso_iter7,night_stand_0194,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
14,night_stand/train/night_stand_0046_SMPLER_centered_scaled_remeshing_iso_iter6,night_stand_0046,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
15,night_stand/train/night_stand_0087_SMPLER_centered_scaled_remeshing_iso_iter10,night_stand_0087,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
16,night_stand/train/night_stand_0165_SMPLER_centered_scaled_remeshing_iso_iter9,night_stand_0165,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.69
17,night_stand/train/night_stand_0092_SMPLER_centered_scaled_remeshing_iso_iter7,night_stand_0092,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
18,night_stand/train/night_stand_0109_SMPLER_centered_scaled_remeshing_iso_iter7,night_stand_0109,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
19,night_stand/train/night_stand_0133_SMPLER_centered_scaled_remeshing_iso_iter9,night_stand_0133,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
20,night_stand/train/night_stand_0104_SMPLER_centered_scaled_remeshing_iso_iter9,night_stand_0104,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
21,night_stand/train/night_stand_0180_SMPLER_centered_scaled_remeshing_iso_iter10,night_stand_0180,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
22,night_stand/train/night_stand_0017_SMPLER_centered_scaled_remeshing_iso_iter9,night_stand_0017,0.0,0.0,0.0,0.0,0.0,0.69,0.31,0.0
23,night_stand/train/night_stand_0118_SMPLER_centered_scaled_remeshing_iso_iter6,night_stand_0118,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
24,night_stand/train/night_stand_0050_SMPLER_centered_scaled_remeshing_iso_iter10,night_stand_0050,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
25,night_stand/train/night_stand_0006_SMPLER_centered_scaled_remeshing_iso_iter8,night_stand_0006,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
26,night_stand/train/night_stand_0141_SMPLER_centered_scaled_remeshing_iso_iter7,night_stand_0141,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
27,night_stand/train/night_stand_0173_SMPLER_centered_scaled_remeshing_iso_iter9,night_stand_0173,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
28,night_stand/train/night_stand_0139_SMPLER_centered_scaled_remeshing_iso_iter7,night_stand_0139,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
29,night_stand/train/night_stand_0018_SMPLER_centered_scaled_remeshing_iso_iter8,night_stand_0018,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
30,night_stand/train/night_stand_0125_SMPLER_centered_scaled_remeshing_iso_iter7,night_stand_0125,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
31,night_stand/train/night_stand_0120_SMPLER_centered_scaled_remeshing_iso_iter6,night_stand_0120,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
