,path,name,0-1,1-1,2-1,3-1,4-1,5-1,6-1,7-1
0,,labels US,dessus_face,dessus_face_droit,dessus_profil_droit,dessus_arriere_droit,dessus_arriere,dessus_arriere_gauche,dessus_profil_gauche,dessus_face_gauche
1,tv_stand/test/tv_stand_0292_SMPLER_centered_scaled_remeshing_iso_iter7,tv_stand_0292,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
2,tv_stand/test/tv_stand_0366_SMPLER_centered_scaled_remeshing_iso_iter11,tv_stand_0366,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.69
3,tv_stand/test/tv_stand_0334_SMPLER_centered_scaled_remeshing_iso_iter10,tv_stand_0334,0.89,0.06,0.0,0.0,0.0,0.0,0.0,0.06
4,tv_stand/test/tv_stand_0341_SMPLER_centered_scaled_remeshing_iso_iter7,tv_stand_0341,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
5,tv_stand/test/tv_stand_0364_SMPLER_centered_scaled_remeshing_iso_iter9,tv_stand_0364,0.89,0.06,0.0,0.0,0.0,0.0,0.0,0.06
6,tv_stand/test/tv_stand_0330_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0330,0.89,0.06,0.0,0.0,0.0,0.0,0.0,0.06
7,tv_stand/test/tv_stand_0284_SMPLER_centered_scaled_remeshing_iso_iter9,tv_stand_0284,0.0,0.0,0.0,0.06,0.89,0.06,0.0,0.0
8,tv_stand/test/tv_stand_0336_SMPLER_centered_scaled_remeshing_iso_iter9,tv_stand_0336,0.89,0.06,0.0,0.0,0.0,0.0,0.0,0.06
9,tv_stand/test/tv_stand_0308_SMPLER_centered_scaled_remeshing_iso_iter10,tv_stand_0308,0.0,0.0,0.0,0.0,0.31,0.69,0.0,0.0
10,tv_stand/test/tv_stand_0295_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0295,0.0,0.0,0.0,0.69,0.31,0.0,0.0,0.0
11,tv_stand/test/tv_stand_0348_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0348,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
12,tv_stand/test/tv_stand_0287_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0287,0.89,0.06,0.0,0.0,0.0,0.0,0.0,0.06
13,tv_stand/test/tv_stand_0318_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0318,0.89,0.06,0.0,0.0,0.0,0.0,0.0,0.06
14,tv_stand/test/tv_stand_0353_SMPLER_centered_scaled_remeshing_iso_iter10,tv_stand_0353,0.89,0.06,0.0,0.0,0.0,0.0,0.0,0.06
15,tv_stand/train/tv_stand_0193_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0193,0.0,0.0,0.0,0.0,0.31,0.69,0.0,0.0
16,tv_stand/train/tv_stand_0150_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0150,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
17,tv_stand/train/tv_stand_0117_SMPLER_centered_scaled_remeshing_iso_iter6,tv_stand_0117,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
18,tv_stand/train/tv_stand_0046_SMPLER_centered_scaled_remeshing_iso_iter10,tv_stand_0046,0.0,0.0,0.0,0.06,0.89,0.06,0.0,0.0
19,tv_stand/train/tv_stand_0262_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0262,0.0,0.0,0.0,0.69,0.31,0.0,0.0,0.0
20,tv_stand/train/tv_stand_0260_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0260,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
21,tv_stand/train/tv_stand_0154_SMPLER_centered_scaled_remeshing_iso_iter7,tv_stand_0154,0.89,0.06,0.0,0.0,0.0,0.0,0.0,0.06
22,tv_stand/train/tv_stand_0218_SMPLER_centered_scaled_remeshing_iso_iter7,tv_stand_0218,0.0,0.0,0.0,0.06,0.89,0.06,0.0,0.0
23,tv_stand/train/tv_stand_0044_SMPLER_centered_scaled_remeshing_iso_iter6,tv_stand_0044,0.0,0.0,0.0,0.06,0.89,0.06,0.0,0.0
24,tv_stand/train/tv_stand_0139_SMPLER_centered_scaled_remeshing_iso_iter9,tv_stand_0139,0.0,0.0,0.0,0.06,0.89,0.06,0.0,0.0
25,tv_stand/train/tv_stand_0080_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0080,0.89,0.06,0.0,0.0,0.0,0.0,0.0,0.06
26,tv_stand/train/tv_stand_0159_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0159,0.0,0.0,0.0,0.0,0.31,0.69,0.0,0.0
27,tv_stand/train/tv_stand_0186_SMPLER_centered_scaled_remeshing_iso_iter12,tv_stand_0186,0.89,0.06,0.0,0.0,0.0,0.0,0.0,0.06
28,tv_stand/train/tv_stand_0035_SMPLER_centered_scaled_remeshing_iso_iter12,tv_stand_0035,0.89,0.06,0.0,0.0,0.0,0.0,0.0,0.06
29,tv_stand/train/tv_stand_0153_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0153,0.69,0.31,0.0,0.0,0.0,0.0,0.0,0.0
30,tv_stand/train/tv_stand_0013_SMPLER_centered_scaled_remeshing_iso_iter6,tv_stand_0013,0.88,0.06,0.0,0.0,0.0,0.0,0.0,0.06
31,tv_stand/train/tv_stand_0253_SMPLER_centered_scaled_remeshing_iso_iter11,tv_stand_0253,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
32,tv_stand/train/tv_stand_0076_SMPLER_centered_scaled_remeshing_iso_iter11,tv_stand_0076,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
33,tv_stand/train/tv_stand_0195_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0195,0.0,0.0,0.0,0.06,0.89,0.06,0.0,0.0
34,tv_stand/train/tv_stand_0096_SMPLER_centered_scaled_remeshing_iso_iter8,tv_stand_0096,0.89,0.06,0.0,0.0,0.0,0.0,0.0,0.06
35,tv_stand/train/tv_stand_0164_SMPLER_centered_scaled_remeshing_iso_iter9,tv_stand_0164,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
36,tv_stand/train/tv_stand_0082_SMPLER_centered_scaled_remeshing_iso_iter10,tv_stand_0082,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
37,tv_stand/train/tv_stand_0251_SMPLER_centered_scaled_remeshing_iso_iter6,tv_stand_0251,0.89,0.06,0.0,0.0,0.0,0.0,0.0,0.06
38,tv_stand/train/tv_stand_0261_SMPLER_centered_scaled_remeshing_iso_iter9,tv_stand_0261,0.0,0.0,0.0,0.0,0.31,0.69,0.0,0.0
