,path,name,0-1,1-1,2-1,3-1,4-1,5-1,6-1,7-1
0,,labels US,dessus_face,dessus_face_droit,dessus_profil_droit,dessus_arriere_droit,dessus_arriere,dessus_arriere_gauche,dessus_profil_gauche,dessus_face_gauche
1,vase/test/vase_0565_SMPLER_centered_scaled_remeshing_iso_iter5,vase_0565_SMPLER,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.71
2,vase/test/vase_0528_SMPLER_centered_scaled_remeshing_iso_iter7,vase_0528_SMPLER,0.87,0.07,0.0,0.0,0.0,0.0,0.0,0.07
3,vase/test/vase_0558_SMPLER_centered_scaled_remeshing_iso_iter9,vase_0558_SMPLER,0.0,0.0,0.0,0.0,0.28,0.72,0.0,0.0
4,vase/test/vase_0488_SMPLER_centered_scaled_remeshing_iso_iter10,vase_0488_SMPLER,0.0,0.0,0.0,0.0,0.28,0.72,0.0,0.0
5,vase/test/vase_0479_SMPLER_centered_scaled_remeshing_iso_iter7,vase_0479_SMPLER,0.0,0.06,0.88,0.06,0.0,0.0,0.0,0.0
6,vase/test/vase_0571_SMPLER_centered_scaled_remeshing_iso_iter5,vase_0571_SMPLER,0.0,0.0,0.0,0.0,0.0,0.06,0.88,0.06
7,vase/test/vase_0570_SMPLER_centered_scaled_remeshing_iso_iter5,vase_0570_SMPLER,0.0,0.0,0.0,0.0,0.0,0.06,0.88,0.06
8,vase/test/vase_0478_SMPLER_centered_scaled_remeshing_iso_iter5,vase_0478_SMPLER,0.0,0.0,0.0,0.0,0.0,0.06,0.88,0.06
9,vase/test/vase_0564_SMPLER_centered_scaled_remeshing_iso_iter9,vase_0564_SMPLER,0.0,0.0,0.0,0.0,0.28,0.72,0.0,0.0
10,vase/test/vase_0549_SMPLER_centered_scaled_remeshing_iso_iter3,vase_0549_SMPLER,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.71
11,vase/test/vase_0567_SMPLER_centered_scaled_remeshing_iso_iter5,vase_0567_SMPLER,0.0,0.73,0.27,0.0,0.0,0.0,0.0,0.0
12,vase/test/vase_0498_SMPLER_centered_scaled_remeshing_iso_iter6,vase_0498_SMPLER,0.0,0.73,0.27,0.0,0.0,0.0,0.0,0.0
13,vase/test/vase_0517_SMPLER_centered_scaled_remeshing_iso_iter7,vase_0517_SMPLER,0.0,0.0,0.0,0.72,0.28,0.0,0.0,0.0
14,vase/train/vase_0474_SMPLER_centered_scaled_remeshing_iso_iter5,vase_0474_SMPLER,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.71
15,vase/train/vase_0375_SMPLER_centered_scaled_remeshing_iso_iter7,vase_0375_SMPLER,0.0,0.0,0.29,0.71,0.0,0.0,0.0,0.0
16,vase/train/vase_0126_SMPLER_centered_scaled_remeshing_iso_iter7,vase_0126_SMPLER,0.0,0.0,0.0,0.05,0.9,0.05,0.0,0.0
17,vase/train/vase_0401_SMPLER_centered_scaled_remeshing_iso_iter5,vase_0401_SMPLER,0.87,0.07,0.0,0.0,0.0,0.0,0.0,0.07
18,vase/train/vase_0279_SMPLER_centered_scaled_remeshing_iso_iter6,vase_0279_SMPLER,0.0,0.06,0.88,0.06,0.0,0.0,0.0,0.0
