,path,name,0-1,1-1,2-1,3-1,4-1,5-1,6-1,7-1
0,,labels US,dessus_face,dessus_face_droit,dessus_profil_droit,dessus_arriere_droit,dessus_arriere,dessus_arriere_gauche,dessus_profil_gauche,dessus_face_gauche
1,bench/train/bench_0086_SMPLER_centered_scaled_remeshing_iso_iter8,bench_0086_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
2,bench/train/bench_0082_SMPLER_centered_scaled_remeshing_iso_iter15,bench_0082_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
3,bench/test/bench_0183_SMPLER_centered_scaled_remeshing_iso_iter9,bench_0183_SMPLER,0.0,0.0,0.0,0.06,0.89,0.06,0.0,0.0
4,bench/train/bench_0073_SMPLER_centered_scaled_remeshing_iso_iter11,bench_0073_SMPLER,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
5,bench/train/bench_0120_SMPLER_centered_scaled_remeshing_iso_iter10,bench_0120_SMPLER,0.0,0.0,0.0,0.0,0.31,0.69,0.0,0.0
6,bench/train/bench_0014_SMPLER_centered_scaled_remeshing_iso_iter9,bench_0014_SMPLER,0.0,0.69,0.31,0.0,0.0,0.0,0.0,0.0
7,bench/train/bench_0114_SMPLER_centered_scaled_remeshing_iso_iter3,bench_0114_SMPLER,0.0,0.0,0.0,0.06,0.89,0.06,0.0,0.0
8,bench/train/bench_0149_SMPLER_centered_scaled_remeshing_iso_iter12,bench_0149_SMPLER,0.89,0.06,0.0,0.0,0.0,0.0,0.0,0.06
9,bench/test/bench_0188_SMPLER_centered_scaled_remeshing_iso_iter12,bench_0188_SMPLER,0.0,0.0,0.0,0.06,0.88,0.06,0.0,0.0
10,bench/train/bench_0167_SMPLER_centered_scaled_remeshing_iso_iter7,bench_0167_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
11,bench/test/bench_0176_SMPLER_centered_scaled_remeshing_iso_iter8,bench_0176_SMPLER,0.89,0.06,0.0,0.0,0.0,0.0,0.0,0.06
12,bench/train/bench_0165_SMPLER_centered_scaled_remeshing_iso_iter8,bench_0165_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
13,bench/train/bench_0007_SMPLER_centered_scaled_remeshing_iso_iter9,bench_0007_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
14,bench/train/bench_0021_SMPLER_centered_scaled_remeshing_iso_iter7,bench_0021_SMPLER,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
15,bench/train/bench_0137_SMPLER_centered_scaled_remeshing_iso_iter8,bench_0137_SMPLER,0.0,0.0,0.0,0.69,0.31,0.0,0.0,0.0
16,bench/test/bench_0178_SMPLER_centered_scaled_remeshing_iso_iter6,bench_0178_SMPLER,0.0,0.0,0.0,0.06,0.89,0.06,0.0,0.0
17,bench/train/bench_0157_SMPLER_centered_scaled_remeshing_iso_iter7,bench_0157_SMPLER,0.89,0.06,0.0,0.0,0.0,0.0,0.0,0.06
18,bench/train/bench_0160_SMPLER_centered_scaled_remeshing_iso_iter12,bench_0160_SMPLER,0.88,0.06,0.0,0.0,0.0,0.0,0.0,0.06
19,bench/train/bench_0170_SMPLER_centered_scaled_remeshing_iso_iter8,bench_0170_SMPLER,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
20,bench/test/bench_0177_SMPLER_centered_scaled_remeshing_iso_iter10,bench_0177_SMPLER,0.89,0.06,0.0,0.0,0.0,0.0,0.0,0.06
21,bench/train/bench_0162_SMPLER_centered_scaled_remeshing_iso_iter6,bench_0162_SMPLER,0.89,0.06,0.0,0.0,0.0,0.0,0.0,0.06
22,bench/train/bench_0103_SMPLER_centered_scaled_remeshing_iso_iter10,bench_0103_SMPLER,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
23,bench/train/bench_0075_SMPLER_centered_scaled_remeshing_iso_iter8,bench_0075_SMPLER,0.0,0.0,0.0,0.06,0.89,0.06,0.0,0.0
24,bench/train/bench_0172_SMPLER_centered_scaled_remeshing_iso_iter7,bench_0172_SMPLER,0.89,0.06,0.0,0.0,0.0,0.0,0.0,0.06
25,bench/train/bench_0070_SMPLER_centered_scaled_remeshing_iso_iter7,bench_0070_SMPLER,0.0,0.0,0.0,0.06,0.89,0.06,0.0,0.0
26,bench/train/bench_0145_SMPLER_centered_scaled_remeshing_iso_iter11,bench_0145_SMPLER,0.89,0.06,0.0,0.0,0.0,0.0,0.0,0.06
27,bench/train/bench_0079_SMPLER_centered_scaled_remeshing_iso_iter7,bench_0079_SMPLER,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
28,bench/train/bench_0038_SMPLER_centered_scaled_remeshing_iso_iter10,bench_0038_SMPLER,0.89,0.06,0.0,0.0,0.0,0.0,0.0,0.06
29,bench/test/bench_0187_SMPLER_centered_scaled_remeshing_iso_iter9,bench_0187_SMPLER,0.0,0.0,0.0,0.06,0.89,0.06,0.0,0.0
30,bench/train/bench_0094_SMPLER_centered_scaled_remeshing_iso_iter12,bench_0094_SMPLER,0.89,0.06,0.0,0.0,0.0,0.0,0.0,0.06
31,bench/train/bench_0061_SMPLER_centered_scaled_remeshing_iso_iter11,bench_0061_SMPLER,0.89,0.06,0.0,0.0,0.0,0.0,0.0,0.06
32,bench/train/bench_0001_SMPLER_centered_scaled_remeshing_iso_iter8,bench_0001_SMPLER,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
33,bench/train/bench_0069_SMPLER_centered_scaled_remeshing_iso_iter7,bench_0069_SMPLER,0.0,0.0,0.0,0.06,0.89,0.06,0.0,0.0
