,path,name,0-1,1-1,2-1,3-1,4-1,5-1,6-1,7-1
0,,labels US,dessus_face,dessus_face_droit,dessus_profil_droit,dessus_arriere_droit,dessus_arriere,dessus_arriere_gauche,dessus_profil_gauche,dessus_face_gauche
1,car/train/car_0166_SMPLER_centered_scaled_remeshing_iso_iter4,car_0166,0.0,0.0,0.0,0.0,0.0,0.06,0.89,0.06
2,car/train/car_0108_SMPLER_centered_scaled_remeshing_iso_iter7,car_0108,0.0,0.0,0.0,0.0,0.0,0.11,0.83,0.06
3,car/train/car_0136_SMPLER_centered_scaled_remeshing_iso_iter7,car_0136,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0
4,car/train/car_0094_SMPLER_centered_scaled_remeshing_iso_iter6,car_0094,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.69
5,car/train/car_0062_SMPLER_centered_scaled_remeshing_iso_iter5,car_0062,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.69
6,car/train/car_0032_SMPLER_centered_scaled_remeshing_iso_iter8,car_0032,0.0,0.0,0.0,0.0,0.0,0.11,0.83,0.06
7,car/test/car_0283_SMPLER_centered_scaled_remeshing_iso_iter3,car_0283,0.0,0.05,0.86,0.09,0.0,0.0,0.0,0.0
8,car/train/car_0152_SMPLER_centered_scaled_remeshing_iso_iter7,car_0152,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6
9,car/train/car_0011_SMPLER_centered_scaled_remeshing_iso_iter6,car_0011,0.0,0.0,0.0,0.0,0.0,0.07,0.86,0.07
10,car/train/car_0004_SMPLER_centered_scaled_remeshing_iso_iter4,car_0004,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.78
11,car/test/car_0265_SMPLER_centered_scaled_remeshing_iso_iter5,car_0265,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.64
12,car/train/car_0157_SMPLER_centered_scaled_remeshing_iso_iter4,car_0157,0.0,0.0,0.0,0.0,0.0,0.06,0.89,0.06
13,car/train/car_0076_SMPLER_centered_scaled_remeshing_iso_iter5,car_0076,0.0,0.0,0.0,0.0,0.0,0.11,0.83,0.06
14,car/test/car_0199_SMPLER_centered_scaled_remeshing_iso_iter5,car_0199,0.0,0.09,0.86,0.05,0.0,0.0,0.0,0.0
15,car/test/car_0266_SMPLER_centered_scaled_remeshing_iso_iter4,car_0266,0.0,0.0,0.0,0.0,0.0,0.67,0.33,0.0
16,car/test/car_0204_SMPLER_centered_scaled_remeshing_iso_iter7,car_0204,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.69
17,car/train/car_0006_SMPLER_centered_scaled_remeshing_iso_iter5,car_0006,0.0,0.0,0.22,0.78,0.0,0.0,0.0,0.0
18,car/train/car_0124_SMPLER_centered_scaled_remeshing_iso_iter5,car_0124,0.0,0.0,0.0,0.0,0.0,0.07,0.86,0.07
19,car/test/car_0253_SMPLER_centered_scaled_remeshing_iso_iter5,car_0253,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0
20,car/train/car_0151_SMPLER_centered_scaled_remeshing_iso_iter6,car_0151,0.0,0.12,0.88,0.0,0.0,0.0,0.0,0.0
21,car/train/car_0037_SMPLER_centered_scaled_remeshing_iso_iter7,car_0037,0.0,0.0,0.0,0.0,0.0,0.06,0.89,0.06
22,car/test/car_0219_SMPLER_centered_scaled_remeshing_iso_iter4,car_0219,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.69
23,car/train/car_0082_SMPLER_centered_scaled_remeshing_iso_iter4,car_0082,0.0,0.0,0.0,0.0,0.0,0.07,0.86,0.07
24,car/train/car_0147_SMPLER_centered_scaled_remeshing_iso_iter5,car_0147,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.73
25,car/train/car_0112_SMPLER_centered_scaled_remeshing_iso_iter4,car_0112,0.0,0.0,0.0,0.0,0.0,0.11,0.83,0.06
26,car/train/car_0007_SMPLER_centered_scaled_remeshing_iso_iter8,car_0007,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.71
27,car/train/car_0089_SMPLER_centered_scaled_remeshing_iso_iter5,car_0089,0.0,0.11,0.83,0.06,0.0,0.0,0.0,0.0
28,car/test/car_0246_SMPLER_centered_scaled_remeshing_iso_iter7,car_0246,0.0,0.0,0.0,0.0,0.0,0.07,0.86,0.07
29,car/train/car_0083_SMPLER_centered_scaled_remeshing_iso_iter4,car_0083,0.0,0.0,0.0,0.0,0.0,0.06,0.89,0.06
30,car/train/car_0174_SMPLER_centered_scaled_remeshing_iso_iter4,car_0174,0.0,0.0,0.22,0.78,0.0,0.0,0.0,0.0
31,car/train/car_0036_SMPLER_centered_scaled_remeshing_iso_iter5,car_0036,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0
32,car/train/car_0110_SMPLER_centered_scaled_remeshing_iso_iter5,car_0110,0.0,0.65,0.35,0.0,0.0,0.0,0.0,0.0
33,car/test/car_0267_SMPLER_centered_scaled_remeshing_iso_iter5,car_0267,0.0,0.0,0.26,0.74,0.0,0.0,0.0,0.0
34,car/train/car_0031_SMPLER_centered_scaled_remeshing_iso_iter3,car_0031,0.0,0.05,0.82,0.14,0.0,0.0,0.0,0.0
35,car/test/car_0296_SMPLER_centered_scaled_remeshing_iso_iter8,car_0296,0.0,0.06,0.88,0.06,0.0,0.0,0.0,0.0
36,car/test/car_0264_SMPLER_centered_scaled_remeshing_iso_iter5,car_0264,0.0,0.0,0.0,0.0,0.0,0.06,0.89,0.06
37,car/train/car_0139_SMPLER_centered_scaled_remeshing_iso_iter3,car_0139,0.0,0.07,0.86,0.07,0.0,0.0,0.0,0.0
38,car/train/car_0080_SMPLER_centered_scaled_remeshing_iso_iter3,car_0080,0.0,0.0,0.0,0.0,0.0,0.06,0.89,0.06
