,path,name,0-1,1-1,2-1,3-1,4-1,5-1,6-1,7-1
0,,labels US,dessus_face,dessus_face_droit,dessus_profil_droit,dessus_arriere_droit,dessus_arriere,dessus_arriere_gauche,dessus_profil_gauche,dessus_face_gauche
1,chair/train/chair_0003_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0003_SMPLER,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0
2,chair/train/chair_0622_SMPLER_centered_scaled_remeshing_iso_iter9,chair_0622_SMPLER,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0
3,chair/train/chair_0226_SMPLER_centered_scaled_remeshing_iso_iter8,chair_0226_SMPLER,0.0,0.31,0.69,0.0,0.0,0.0,0.0,0.0
4,chair/train/chair_0586_SMPLER_centered_scaled_remeshing_iso_iter3,chair_0586_SMPLER,0.0,0.0,0.0,0.0,0.06,0.88,0.06,0.0
5,chair/train/chair_0707_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0707_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
6,chair/test/chair_0960_SMPLER_centered_scaled_remeshing_iso_iter8,chair_0960_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
7,chair/test/chair_0963_SMPLER_centered_scaled_remeshing_iso_iter6,chair_0963_SMPLER,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0
8,chair/train/chair_0165_SMPLER_centered_scaled_remeshing_iso_iter9,chair_0165_SMPLER,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0
9,chair/train/chair_0576_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0576_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
10,chair/train/chair_0657_SMPLER_centered_scaled_remeshing_iso_iter8,chair_0657_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
11,chair/test/chair_0985_SMPLER_centered_scaled_remeshing_iso_iter4,chair_0985_SMPLER,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0
12,chair/train/chair_0583_SMPLER_centered_scaled_remeshing_iso_iter6,chair_0583_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
13,chair/test/chair_0981_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0981_SMPLER,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0
14,chair/train/chair_0222_SMPLER_centered_scaled_remeshing_iso_iter6,chair_0222_SMPLER,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0
15,chair/train/chair_0728_SMPLER_centered_scaled_remeshing_iso_iter5,chair_0728_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
16,chair/train/chair_0367_SMPLER_centered_scaled_remeshing_iso_iter5,chair_0367_SMPLER,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0
17,chair/train/chair_0722_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0722_SMPLER,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0
18,chair/train/chair_0670_SMPLER_centered_scaled_remeshing_iso_iter9,chair_0670_SMPLER,0.0,0.0,0.0,0.0,0.0,0.31,0.69,0.0
19,chair/train/chair_0600_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0600_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
20,chair/train/chair_0220_SMPLER_centered_scaled_remeshing_iso_iter6,chair_0220_SMPLER,0.0,0.31,0.69,0.0,0.0,0.0,0.0,0.0
21,chair/train/chair_0803_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0803_SMPLER,0.0,0.31,0.69,0.0,0.0,0.0,0.0,0.0
22,chair/train/chair_0071_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0071_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
23,chair/train/chair_0578_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0578_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
24,chair/train/chair_0826_SMPLER_centered_scaled_remeshing_iso_iter6,chair_0826_SMPLER,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0
25,chair/train/chair_0555_SMPLER_centered_scaled_remeshing_iso_iter10,chair_0555_SMPLER,0.0,0.31,0.69,0.0,0.0,0.0,0.0,0.0
26,chair/train/chair_0710_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0710_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
27,chair/train/chair_0330_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0330_SMPLER,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0
28,chair/train/chair_0347_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0347_SMPLER,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0
29,chair/train/chair_0815_SMPLER_centered_scaled_remeshing_iso_iter9,chair_0815_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
30,chair/train/chair_0155_SMPLER_centered_scaled_remeshing_iso_iter5,chair_0155_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
31,chair/train/chair_0520_SMPLER_centered_scaled_remeshing_iso_iter6,chair_0520_SMPLER,0.0,0.31,0.69,0.0,0.0,0.0,0.0,0.0
32,chair/train/chair_0477_SMPLER_centered_scaled_remeshing_iso_iter9,chair_0477_SMPLER,0.0,0.31,0.69,0.0,0.0,0.0,0.0,0.0
33,chair/train/chair_0272_SMPLER_centered_scaled_remeshing_iso_iter10,chair_0272_SMPLER,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0
34,chair/train/chair_0106_SMPLER_centered_scaled_remeshing_iso_iter9,chair_0106_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
35,chair/train/chair_0772_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0772_SMPLER,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0
36,chair/train/chair_0876_SMPLER_centered_scaled_remeshing_iso_iter8,chair_0876_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
37,chair/train/chair_0278_SMPLER_centered_scaled_remeshing_iso_iter5,chair_0278_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
38,chair/train/chair_0429_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0429_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
39,chair/train/chair_0171_SMPLER_centered_scaled_remeshing_iso_iter9,chair_0171_SMPLER,0.0,0.31,0.69,0.0,0.0,0.0,0.0,0.0
40,chair/train/chair_0001_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0001_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
41,chair/train/chair_0644_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0644_SMPLER,0.0,0.0,0.0,0.0,0.06,0.88,0.06,0.0
42,chair/train/chair_0416_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0416_SMPLER,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0
43,chair/train/chair_0616_SMPLER_centered_scaled_remeshing_iso_iter8,chair_0616_SMPLER,0.0,0.31,0.69,0.0,0.0,0.0,0.0,0.0
44,chair/train/chair_0800_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0800_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
45,chair/train/chair_0386_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0386_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
46,chair/train/chair_0603_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0603_SMPLER,0.0,0.31,0.69,0.0,0.0,0.0,0.0,0.0
47,chair/train/chair_0812_SMPLER_centered_scaled_remeshing_iso_iter6,chair_0812_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
48,chair/train/chair_0191_SMPLER_centered_scaled_remeshing_iso_iter5,chair_0191_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
49,chair/train/chair_0814_SMPLER_centered_scaled_remeshing_iso_iter3,chair_0814_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
50,chair/train/chair_0249_SMPLER_centered_scaled_remeshing_iso_iter8,chair_0249_SMPLER,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0
51,chair/train/chair_0648_SMPLER_centered_scaled_remeshing_iso_iter4,chair_0648_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
52,chair/train/chair_0062_SMPLER_centered_scaled_remeshing_iso_iter9,chair_0062_SMPLER,0.0,0.31,0.69,0.0,0.0,0.0,0.0,0.0
53,chair/train/chair_0529_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0529_SMPLER,0.0,0.0,0.0,0.0,0.06,0.88,0.06,0.0
54,chair/train/chair_0834_SMPLER_centered_scaled_remeshing_iso_iter6,chair_0834_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
55,chair/test/chair_0983_SMPLER_centered_scaled_remeshing_iso_iter3,chair_0983_SMPLER,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0
56,chair/test/chair_0984_SMPLER_centered_scaled_remeshing_iso_iter8,chair_0984_SMPLER,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0
57,chair/train/chair_0454_SMPLER_centered_scaled_remeshing_iso_iter8,chair_0454_SMPLER,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0
58,chair/train/chair_0553_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0553_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
59,chair/train/chair_0304_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0304_SMPLER,0.0,0.0,0.0,0.0,0.0,0.31,0.69,0.0
60,chair/train/chair_0652_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0652_SMPLER,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0
61,chair/train/chair_0009_SMPLER_centered_scaled_remeshing_iso_iter11,chair_0009_SMPLER,0.0,0.31,0.69,0.0,0.0,0.0,0.0,0.0
62,chair/train/chair_0005_SMPLER_centered_scaled_remeshing_iso_iter10,chair_0005_SMPLER,0.0,0.31,0.69,0.0,0.0,0.0,0.0,0.0
63,chair/train/chair_0297_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0297_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
64,chair/train/chair_0368_SMPLER_centered_scaled_remeshing_iso_iter9,chair_0368_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
65,chair/test/chair_0918_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0918_SMPLER,0.0,0.0,0.0,0.0,0.0,0.31,0.69,0.0
66,chair/train/chair_0175_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0175_SMPLER,0.0,0.31,0.69,0.0,0.0,0.0,0.0,0.0
67,chair/test/chair_0938_SMPLER_centered_scaled_remeshing_iso_iter8,chair_0938_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
68,chair/train/chair_0630_SMPLER_centered_scaled_remeshing_iso_iter3,chair_0630_SMPLER,0.0,0.0,0.0,0.0,0.06,0.88,0.06,0.0
69,chair/train/chair_0626_SMPLER_centered_scaled_remeshing_iso_iter6,chair_0626_SMPLER,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0
70,chair/train/chair_0027_SMPLER_centered_scaled_remeshing_iso_iter11,chair_0027_SMPLER,0.0,0.31,0.69,0.0,0.0,0.0,0.0,0.0
71,chair/train/chair_0571_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0571_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
72,chair/train/chair_0573_SMPLER_centered_scaled_remeshing_iso_iter6,chair_0573_SMPLER,0.0,0.0,0.0,0.0,0.06,0.88,0.06,0.0
73,chair/train/chair_0118_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0118_SMPLER,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0
74,chair/train/chair_0781_SMPLER_centered_scaled_remeshing_iso_iter4,chair_0781_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
75,chair/train/chair_0056_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0056_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
76,chair/train/chair_0755_SMPLER_centered_scaled_remeshing_iso_iter5,chair_0755_SMPLER,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0
77,chair/train/chair_0736_SMPLER_centered_scaled_remeshing_iso_iter10,chair_0736_SMPLER,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.31
78,chair/test/chair_0943_SMPLER_centered_scaled_remeshing_iso_iter3,chair_0943_SMPLER,0.0,0.0,0.0,0.0,0.06,0.88,0.06,0.0
79,chair/train/chair_0718_SMPLER_centered_scaled_remeshing_iso_iter12,chair_0718_SMPLER,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0
80,chair/train/chair_0366_SMPLER_centered_scaled_remeshing_iso_iter3,chair_0366_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
81,chair/train/chair_0212_SMPLER_centered_scaled_remeshing_iso_iter5,chair_0212_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
82,chair/test/chair_0959_SMPLER_centered_scaled_remeshing_iso_iter4,chair_0959_SMPLER,0.0,0.31,0.69,0.0,0.0,0.0,0.0,0.0
83,chair/train/chair_0109_SMPLER_centered_scaled_remeshing_iso_iter6,chair_0109_SMPLER,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0
84,chair/train/chair_0660_SMPLER_centered_scaled_remeshing_iso_iter7,chair_0660_SMPLER,0.06,0.88,0.06,0.0,0.0,0.0,0.0,0.0
85,chair/train/chair_0300_SMPLER_centered_scaled_remeshing_iso_iter9,chair_0300_SMPLER,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.31
