,path,name,0-1,1-1,2-1,3-1,4-1,5-1,6-1,7-1
0,,labels US,dessus_face,dessus_face_droit,dessus_profil_droit,dessus_arriere_droit,dessus_arriere,dessus_arriere_gauche,dessus_profil_gauche,dessus_face_gauche
1,dresser/train/dresser_0126_SMPLER_centered_scaled_remeshing_iso_iter8,dresser_0126,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
2,dresser/train/dresser_0032_SMPLER_centered_scaled_remeshing_iso_iter7,dresser_0032,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
3,dresser/train/dresser_0030_SMPLER_centered_scaled_remeshing_iso_iter6,dresser_0030,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
4,dresser/train/dresser_0016_SMPLER_centered_scaled_remeshing_iso_iter6,dresser_0016,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
5,dresser/train/dresser_0155_SMPLER_centered_scaled_remeshing_iso_iter9,dresser_0155,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
6,dresser/train/dresser_0132_SMPLER_centered_scaled_remeshing_iso_iter9,dresser_0132,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
7,dresser/train/dresser_0058_SMPLER_centered_scaled_remeshing_iso_iter11,dresser_0058,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
8,dresser/train/dresser_0118_SMPLER_centered_scaled_remeshing_iso_iter8,dresser_0118,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.69
9,dresser/train/dresser_0191_SMPLER_centered_scaled_remeshing_iso_iter9,dresser_0191,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
10,dresser/train/dresser_0071_SMPLER_centered_scaled_remeshing_iso_iter9,dresser_0071,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
11,dresser/train/dresser_0144_SMPLER_centered_scaled_remeshing_iso_iter9,dresser_0144,0.0,0.0,0.0,0.69,0.31,0.0,0.0,0.0
12,dresser/train/dresser_0143_SMPLER_centered_scaled_remeshing_iso_iter9,dresser_0143,0.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0
